Wavelength,Calibrated reflectance,Error
460.0,0.09597,0.000738
480.0,0.102816,0.000688
500.0,0.113304,0.000875
520.0,0.133408,0.001324
540.0,0.162847,0.000749
660.0,0.228184,0.001314
680.0,0.235181,0.016222
700.0,0.241224,0.001943
720.0,0.248376,0.002236
740.0,0.254403,0.001356
860.0,0.261625,0.004309
880.0,0.259187,0.00157
900.0,0.258193,0.002784
920.0,0.259089,0.004909
940.0,0.261228,0.006201
