Wavelength,Calibrated reflectance,Error
460.0,0.107782,0.0003
480.0,0.116206,0.000213
500.0,0.128152,0.000166
520.0,0.147927,4.3e-05
540.0,0.174791,7.9e-05
660.0,0.209229,9.3e-05
680.0,0.211075,7e-05
700.0,0.21421,0.000191
720.0,0.217977,5e-05
740.0,0.221998,6.1e-05
860.0,0.228672,1.7e-05
880.0,0.225173,0.000404
900.0,0.22367,0.000199
920.0,0.224316,9e-05
940.0,0.225814,4.2e-05
