Wavelength,Calibrated reflectance,Error
460.0,0.051815,0.001369
480.0,0.055696,0.00048
500.0,0.06611,0.001645
520.0,0.084094,0.001014
540.0,0.110372,0.00097
660.0,0.223298,0.001082
680.0,0.231629,0.00254
700.0,0.241715,0.017712
720.0,0.251489,0.001451
740.0,0.260769,0.002041
860.0,0.263031,0.003062
880.0,0.259728,0.002696
900.0,0.258707,0.004313
920.0,0.259493,0.003766
940.0,0.26166,0.003798
