Wavelength,Calibrated reflectance,Error
460.0,0.099925,0.001118
480.0,0.104655,0.000779
500.0,0.115693,0.001202
520.0,0.12764,0.001274
540.0,0.139679,0.001008
660.0,0.195371,0.000534
680.0,0.20381,0.001212
700.0,0.21045,0.010784
720.0,0.214937,0.001434
740.0,0.218795,0.001235
860.0,0.220609,0.002992
880.0,0.217934,0.002137
900.0,0.215639,0.001471
920.0,0.212819,0.004546
940.0,0.210637,0.003388
