Wavelength,Calibrated reflectance,Error
460.0,0.177339,0.00046
480.0,0.180988,0.000396
500.0,0.185151,0.000381
520.0,0.192567,0.000213
540.0,0.198985,0.000337
660.0,0.203492,0.000193
680.0,0.203918,4.1e-05
700.0,0.204673,3.9e-05
720.0,0.206064,5.3e-05
740.0,0.20827,3.4e-05
860.0,0.213199,3.8e-05
880.0,0.211748,3.5e-05
900.0,0.210947,0.000166
920.0,0.210333,2e-05
940.0,0.210423,3.9e-05
