Wavelength,Calibrated reflectance,Error
460.0,0.170979,0.000471
480.0,0.171075,0.000252
500.0,0.172496,0.000219
520.0,0.175385,0.000469
540.0,0.17986,0.000201
660.0,0.213055,0.000196
680.0,0.216877,7.2e-05
700.0,0.220342,5.6e-05
720.0,0.223979,3.8e-05
740.0,0.227832,4.7e-05
860.0,0.220799,2.6e-05
880.0,0.219752,0.000414
900.0,0.219364,2.6e-05
920.0,0.219654,2.5e-05
940.0,0.221304,2.7e-05
