Wavelength,Calibrated reflectance,Error
460.0,0.115586,0.000502
480.0,0.121762,0.000252
500.0,0.127355,0.000274
520.0,0.132284,0.000165
540.0,0.132525,0.000243
660.0,0.115104,0.000144
680.0,0.112334,5.7e-05
700.0,0.110514,4.5e-05
720.0,0.109755,3.7e-05
740.0,0.110403,3.2e-05
860.0,0.113755,2.9e-05
880.0,0.112162,2.3e-05
900.0,0.111101,9e-06
920.0,0.111227,1.9e-05
940.0,0.112335,2.3e-05
