Wavelength,Calibrated reflectance,Error
460.0,0.457372,0.0005
480.0,0.480754,0.000556
500.0,0.504154,0.000788
520.0,0.53,0.001477
540.0,0.550467,0.001267
660.0,0.560047,0.001127
680.0,0.556449,0.004527
700.0,0.555809,0.003805
720.0,0.556305,0.000735
740.0,0.559109,0.001961
860.0,0.590992,0.006915
880.0,0.591081,0.008821
900.0,0.589818,0.01353
920.0,0.590829,0.007272
940.0,0.59189,0.01186
