Wavelength,Calibrated reflectance,Error
460.0,0.31511,0.0005
480.0,0.327722,0.000876
500.0,0.343145,0.000831
520.0,0.359785,0.000214
540.0,0.373878,0.000219
660.0,0.425209,0.000175
680.0,0.428984,0.000133
700.0,0.431657,9.1e-05
720.0,0.43473,7e-05
740.0,0.438246,6.8e-05
860.0,0.428414,0.0001
880.0,0.421572,5e-05
900.0,0.415858,3.3e-05
920.0,0.413953,5.9e-05
940.0,0.413101,5.7e-05
