Wavelength,Calibrated reflectance,Error
460.0,0.089117,0.000693
480.0,0.088801,0.000301
500.0,0.090756,0.000339
520.0,0.09386,0.000126
540.0,0.095554,0.000278
660.0,0.096344,6.7e-05
680.0,0.096994,5.3e-05
700.0,0.096827,4.4e-05
720.0,0.096686,2.1e-05
740.0,0.09626,3.8e-05
860.0,0.093503,2.2e-05
880.0,0.092923,2.4e-05
900.0,0.092094,1.1e-05
920.0,0.090889,1.4e-05
940.0,0.089677,1.7e-05
