Wavelength,Calibrated reflectance,Error
460.0,0.127672,0.000572
480.0,0.131136,0.000408
500.0,0.134706,0.000231
520.0,0.136802,0.000281
540.0,0.137501,0.000218
660.0,0.131921,0.000141
680.0,0.130943,4.5e-05
700.0,0.129717,4.4e-05
720.0,0.129496,4.7e-05
740.0,0.129985,5e-05
860.0,0.128486,2.8e-05
880.0,0.126774,2.2e-05
900.0,0.1256,2.1e-05
920.0,0.125122,2.6e-05
940.0,0.125416,1.6e-05
