Wavelength,Calibrated reflectance,Error
460.0,0.061048,0.000404
480.0,0.06309,0.00052
500.0,0.064079,0.000147
520.0,0.06544,0.0003
540.0,0.065952,0.000261
660.0,0.074189,0.000204
680.0,0.077774,8.6e-05
700.0,0.079407,3.8e-05
720.0,0.079236,3.8e-05
740.0,0.078378,5.7e-05
860.0,0.069907,2.9e-05
880.0,0.068358,1.7e-05
900.0,0.067079,1.8e-05
920.0,0.065918,1.6e-05
940.0,0.064964,1.4e-05
