Wavelength,Calibrated reflectance,Error
460.0,0.101077,0.000518
480.0,0.105903,0.00011
500.0,0.12192,0.000104
520.0,0.15013,0.000151
540.0,0.189154,0.000121
660.0,0.254011,5.7e-05
680.0,0.259013,0.00032
700.0,0.264472,3.9e-05
720.0,0.270302,3.1e-05
740.0,0.275425,4.7e-05
860.0,0.275048,6.2e-05
880.0,0.271212,0.000518
900.0,0.269996,8.8e-05
920.0,0.27046,5.2e-05
940.0,0.272042,3.7e-05
